date,vhc_totalMile,Cumulative capacity,Ambient_Temp,MeanCurrent,Temp_offset,MeanPower,deep_char,FastChgNum,Rohm,Rp,Cp,Target
1,81519,15.2402777777777,20.9,74.4147260273972,2.5599315068493,27.5020366438357,1,0,0.0385536332614949,0.0376543060881725,14.3823270046501,94.60608284
2,81741,203.001944444443,21.3,14,3.5,5.39,2,0,0.0385609852063483,0.0376614360147693,14.3776191340183,94.59973896
3,82021,298.268055555552,20.8,55.0786931818182,2.7357954545454,19.71205938,3,0,0.0385683371512018,0.0376685659413662,14.3729112633865,94.59173767
4,82324,455.51277777777,23.3,102.607380073801,0.0645756457564985,37.1272981549816,4,0,0.0385756890960553,0.0376756958679631,14.3682033927546,94.58311102
5,82617,603.664444444447,18.2,100.258169934641,1.5947712418301,36.0708209150327,5,0,0.0385830410409088,0.0376828257945599,14.3634955221228,94.57479326
6,82860,736.931111111136,21.1,151.714084507042,0.147887323943699,53.0977028169014,5,1,0.0385903929857622,0.0376899557211568,14.358787651491,94.56791722
7,82943,795.084166666693,21.1,117.816666666667,0.662037037036999,42.9499351851852,5,2,0.0385977449306157,0.0376970856477537,14.3540797808592,94.56556862
8,83107,908.326944444499,16.8,87.9901408450705,2.5457746478873,32.4611154929578,6,2,0.0386050968754692,0.0377042155743506,14.3493719102274,94.56094069
9,83256,1000.16194444451,19.2,75.2145833333334,2.890625,27.7717416666667,6,2,0.0386124488203226,0.0377113455009474,14.3446640395955,94.55674378
10,83492,1089.61027777784,18.5,128.011538461538,0.213942307692299,45.660833173077,6,3,0.0386198007651761,0.0377184754275443,14.3399561689637,94.550112
11,83663,1229.30805555563,21.3,107.541322314049,1.2644628099174,39.3613983471075,6,3,0.0386271527100296,0.0377256053541412,14.3352482983319,94.54531928
12,83863,1357.73527777785,23.7,106.70289017341,1.4075144508671,38.6936768786127,6,3,0.0386345046548831,0.037732735280738,14.3305404277001,94.53972769
13,84026,1466.4272222223,23.7,104.343037974683,0.259493670886101,38.3475569620253,6,3,0.0386418565997365,0.0377398652073349,14.3258325570683,94.53518201
14,84156,1527.25861111119,21,96.372988505747,1.1494252873563,35.5498028735632,6,3,0.03864920854459,0.0377469951339318,14.3211246864365,94.53156421
15,84289,1626.58833333344,21.7,92.4185792349726,0.6366120218579,34.4641606557377,7,3,0.0386565604894435,0.0377541250605286,14.3164168158046,94.52787
16,84491,1731.62222222235,21.7,97.8833333333333,1.48,35.8818513333333,8,3,0.0386639124342969,0.0377612549871255,14.3117089451728,94.52227319
17,84741,1896.31888888902,30.7,98.5737089201878,0.110328638497599,35.0459131455399,8,3,0.0386712643791504,0.0377683849137224,14.307001074541,94.51537012
18,84816,2005.45500000014,22.9,106.543636363636,0.2090909090909,39.2997690909091,8,3,0.0386786163240039,0.0377755148403192,14.3022932039092,94.51330438
19,84882,2076.16111111125,22.8,83.7716417910448,2.044776119,31.5155567164179,9,3,0.0386859682688573,0.0377826447669161,14.2975853332774,94.51148852
20,85034,2200.7166666668,22.8,106.05935483871,1.0193548387097,38.8945735483871,9,3,0.0386933202137108,0.037789774693513,14.2928774626455,94.5073137
21,85150,2307.63027777792,26.1,101.902189781022,0.908759124087599,37.823905109489,9,3,0.0387006721585643,0.0377969046201099,14.2881695920137,94.50413436
22,85928,2480.10305555571,24.8,97.1549407114624,0.776679841897199,35.3975968379447,9,3,0.0387080241034177,0.0378040345467067,14.2834617213819,94.48295941
23,86115,2657.19472222242,28.8,81.3366101694915,0.479661016949201,29.6244596610169,9,3,0.0387153760482712,0.0378111644733036,14.2787538507501,94.47790771
24,86311,2819.63027777798,24.1,105.798,0.5625,38.283767,9,3,0.0387227279931247,0.0378182943999005,14.2740459801183,94.47262834
25,86450,2955.31194444468,25.7,96.8351955307264,0.960893854748601,35.797782122905,9,3,0.0387300799379782,0.0378254243264973,14.2693381094864,94.46889377
26,86587,3065.86750000025,26.4,83.4032710280373,2.3528037383178,31.1254018691589,10,3,0.0387374318828316,0.0378325542530942,14.2646302388546,94.46522054
27,86777,3227.97611111139,23.9,90.2405797101451,1.024154589,32.8298584541063,10,3,0.0387447838276851,0.0378396841796911,14.2599223682228,94.46013863
28,86965,3402.58138888922,22.5,134.171676300578,1.771676301,47.7419323699422,10,4,0.0387521357725386,0.0378468141062879,14.255214497591,94.45512416
29,87047,3511.91055555589,22.6,101.642063492063,0.678571428571399,37.759446031746,10,4,0.038759487717392,0.0378539440328848,14.2505066269592,94.45294128
30,87144,3600.58722222256,26.2,82.3907142857142,1.2642857142857,31.1414264285714,11,5,0.0387668396622455,0.0378610739594817,14.2457987563274,94.45036812
31,87459,3800.97333333379,20.9,126.041417910448,0.7649253731343,44.8545492537313,11,6,0.038774191607099,0.0378682038860785,14.2410908856955,94.44201198
32,87552,3952.11916666713,26.1,87.0628205128208,2.3205128205128,32.7327224358974,12,6,0.0387815435519525,0.0378753338126754,14.2363830150637,94.43955349
33,87786,4108.89277777827,25,111.431687242798,0.0185185185185013,40.453150617284,13,7,0.0387888954968059,0.0378824637392723,14.2316751444319,94.43338106
34,87997,4283.67583333384,25,110.326511627907,0.879069767441901,40.0927320930233,13,8,0.0387962474416594,0.0378895936658692,14.2269672738001,94.42783133
35,88191,4466.96611111153,20.1,102.355284552846,1.6991869918699,37.132231300813,13,8,0.0388035993865129,0.037896723592466,14.2222594031683,94.42274167
36,88402,4685.1200000002,20.1,139.312087912088,2.4862637362637,49.2789868131869,13,9,0.0388109513313663,0.0379038535190629,14.2175515325364,94.4172197
37,88530,4840.50861111131,24.3,98.9268398268399,1.0757575757576,36.0622523809524,13,9,0.0388183032762198,0.0379109834456598,14.2128436619046,94.41387666
